	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
140	Python разработчик (AI/ML)	40000	55000	RUR	Уфа	2024-07-09	Нфт-Студия 8 Бит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103575499	47500.0
141	Python-разработчик Data Masking в Банк	180000	180000	RUR	Москва	2024-07-08	Сателл ИТ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103490571	180000.0
142	QA-инженер	50000	90000	RUR	Нижний Новгород	2024-06-18	Фланг	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/102168779	70000.0
143	Программист Python (Junior+/Middle)	50000	50000	RUR	Санкт-Петербург	2024-07-16	РэилМатик	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/104000699	50000.0
144	Программист	45000	55000	RUR	Екатеринбург	2024-07-10	ФГБОУ ВО Уральский государственный медицинский университет	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103623770	50000.0
145	Инженер-программист	120000	120000	RUR	Киров (Кировская область)	2024-07-12	Аркона	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102581689	120000.0
146	Разработчик БПЛА	160000	190000	RUR	Москва	2024-07-13	Лаборатория Наносемантика	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/89132087	175000.0
147	Python Backend разработчик	120000	150000	RUR	Санкт-Петербург	2024-06-20	ЭдПро	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102365072	135000.0
148	Python Developer	200000	270000	RUR	Москва	2024-06-18	FunFlow (ООО Мобильные Игровые Решения)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/93310855	235000.0
149	Product analyst (gamedev)	200000	250000	RUR	Москва	2024-06-18	FunFlow (ООО Мобильные Игровые Решения)	Продуктовый аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/96389154	225000.0
150	DATA Scientist/data analyst	25000000	25000000	USD	Ташкент	2024-07-10	Центр развития IT- знаний	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103623454	25000000.0
151	Разработчик С++	300000	300000	RUR	Москва	2024-06-20	Лаборатория Современных Цифровых Технологий	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102359268	300000.0
152	Инженер-программист	75000	75000	RUR	Волжский (Волгоградская область)	2024-07-08	Март	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103521787	75000.0
